time,scene,character,activeBody,activeFace,headGroup_rx,headGroup_ry,headGroup_rz,rightShoulder_rx,rightShoulder_ry,rightShoulder_rz,rightElbow_rx,rightElbow_ry,rightElbow_rz,rightWrist_rx,rightWrist_ry,rightWrist_rz,leftShoulder_rx,leftShoulder_ry,leftShoulder_rz,leftElbow_rx,leftElbow_ry,leftElbow_rz,leftWrist_rx,leftWrist_ry,leftWrist_rz,rightHip_rx,rightHip_ry,rightHip_rz,rightKnee_rx,rightKnee_ry,rightKnee_rz,rightAnkle_rx,rightAnkle_ry,rightAnkle_rz,leftHip_rx,leftHip_ry,leftHip_rz,leftKnee_rx,leftKnee_ry,leftKnee_rz,leftAnkle_rx,leftAnkle_ry,leftAnkle_rz,mesh_x,mesh_y,mesh_z,mesh_rx,mesh_ry,mesh_rz
3.000,"BrightSpaceStationScene","Zorak","BroadcastChestExpansion","",0.000,0.000,0.000,-0.905,0.000,0.008,0.000,0.000,0.000,0.000,0.000,-0.000,-0.905,-0.000,-0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,-0.720,0.130,0.000,0.000,0.000,0.000
3.000,"BrightSpaceStationScene","Klaw","BroadcastChestExpansion","",0.000,0.000,0.000,-0.905,0.000,0.008,0.000,0.000,0.000,0.000,0.000,-0.000,-0.905,-0.000,-0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.001,0.000,0.000,0.000,0.000,0.000,-0.000,0.000,0.000,0.720,0.130,0.000,0.000,0.000,0.000
3.100,"BrightSpaceStationScene","Zorak","BroadcastChestExpansion","",0.000,0.000,0.000,-1.097,0.011,0.136,0.000,0.000,0.000,0.000,0.000,-0.011,-1.097,-0.011,-0.136,0.000,0.000,0.000,0.000,0.000,0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.014,0.000,0.002,0.010,0.000,0.000,-0.006,0.000,0.000,-0.721,0.130,0.002,0.000,0.000,0.001
3.100,"BrightSpaceStationScene","Klaw","BroadcastChestExpansion","",0.000,0.000,0.000,-1.097,0.011,0.136,0.000,0.000,0.000,0.000,0.000,-0.011,-1.097,-0.011,-0.136,0.000,0.000,0.000,0.000,0.000,0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.014,0.000,0.002,0.010,0.000,0.000,-0.006,0.000,0.000,0.719,0.130,0.002,0.000,0.000,0.001
3.200,"BrightSpaceStationScene","Zorak","BroadcastChestExpansion","",0.000,0.000,0.000,-0.947,0.036,0.264,0.000,0.000,0.000,0.000,0.000,-0.036,-0.947,-0.036,-0.264,0.000,0.000,0.000,0.000,0.000,0.036,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.044,0.000,0.005,0.032,0.000,0.000,-0.020,0.000,0.000,-0.722,0.129,0.006,0.000,0.000,0.002
3.200,"BrightSpaceStationScene","Klaw","BroadcastChestExpansion","",0.000,0.000,0.000,-0.947,0.036,0.264,0.000,0.000,0.000,0.000,0.000,-0.036,-0.947,-0.036,-0.264,0.000,0.000,0.000,0.000,0.000,0.036,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.044,0.000,0.005,0.032,0.000,0.000,-0.020,0.000,0.000,0.718,0.129,0.006,0.000,0.000,0.002
3.300,"BrightSpaceStationScene","Zorak","BroadcastChestExpansion","",0.000,0.000,0.000,-0.755,0.064,0.392,0.000,0.000,0.000,0.000,0.000,-0.064,-0.755,-0.064,-0.392,0.000,0.000,0.000,0.000,0.000,0.064,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.079,0.000,0.009,0.058,0.000,0.000,-0.036,0.000,0.000,-0.724,0.128,0.012,0.000,0.000,0.004
3.300,"BrightSpaceStationScene","Klaw","BroadcastChestExpansion","",0.000,0.000,0.000,-0.755,0.064,0.392,0.000,0.000,0.000,0.000,0.000,-0.064,-0.755,-0.064,-0.392,0.000,0.000,0.000,0.000,0.000,0.064,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.079,0.000,0.009,0.058,0.000,0.000,-0.036,0.000,0.000,0.716,0.128,0.012,0.000,0.000,0.004
3.400,"BrightSpaceStationScene","Zorak","BroadcastChestExpansion","",0.000,0.000,0.000,-0.563,0.078,0.520,0.000,0.000,0.000,0.000,0.000,-0.078,-0.563,-0.078,-0.520,0.000,0.000,0.000,0.000,0.000,0.078,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.097,0.000,0.011,0.070,0.000,0.000,-0.044,0.000,0.000,-0.725,0.128,0.014,0.000,0.000,0.005
3.400,"BrightSpaceStationScene","Klaw","BroadcastChestExpansion","",0.000,0.000,0.000,-0.563,0.078,0.520,0.000,0.000,0.000,0.000,0.000,-0.078,-0.563,-0.078,-0.520,0.000,0.000,0.000,0.000,0.000,0.078,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.097,0.000,0.011,0.070,0.000,0.000,-0.044,0.000,0.000,0.715,0.128,0.014,0.000,0.000,0.005
3.500,"BrightSpaceStationScene","Zorak","BroadcastChestExpansion","",-0.002,0.000,0.000,-0.371,-0.380,0.648,-0.200,0.000,0.000,0.000,0.000,-0.077,-0.371,-0.079,-0.648,0.000,0.000,0.000,0.000,0.000,0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.100,0.000,0.011,0.073,0.000,0.000,-0.046,0.000,0.000,-0.725,0.128,0.015,-0.001,0.000,0.005
3.500,"BrightSpaceStationScene","Klaw","BroadcastChestExpansion","",-0.002,0.000,0.000,-0.371,0.079,0.648,0.000,0.000,0.000,0.000,0.000,-0.077,-0.371,-0.224,-0.648,-0.200,0.000,0.000,0.000,0.000,0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.100,0.000,0.011,0.073,0.000,0.000,-0.046,0.000,0.000,0.715,0.128,0.015,-0.001,0.000,0.005
3.600,"BrightSpaceStationScene","Zorak","BroadcastChestExpansion","",-0.016,0.000,0.000,-0.179,-0.350,0.776,-0.200,0.000,0.000,0.000,0.000,-0.056,-0.179,-0.074,-0.776,0.000,0.000,0.000,0.000,0.000,0.056,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.112,0.000,0.013,0.082,0.000,0.000,-0.051,0.000,0.000,-0.726,0.130,0.016,-0.005,0.000,0.006
3.600,"BrightSpaceStationScene","Klaw","BroadcastChestExpansion","",-0.016,0.000,0.000,-0.179,0.074,0.776,0.000,0.000,0.000,0.000,0.000,-0.056,-0.179,-0.276,-0.776,-0.200,0.000,0.000,0.000,0.000,0.056,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.112,0.000,0.013,0.082,0.000,0.000,-0.051,0.000,0.000,0.714,0.130,0.016,-0.005,0.000,0.006
3.700,"BrightSpaceStationScene","Zorak","BroadcastChestExpansion","",-0.044,0.000,0.000,-0.169,-0.433,0.648,-0.200,0.000,0.000,0.000,0.000,-0.014,-0.169,-0.063,-0.648,0.000,0.000,0.000,0.000,0.000,0.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.135,0.000,0.015,0.098,0.000,0.000,-0.062,0.000,0.000,-0.727,0.132,0.020,-0.014,0.000,0.007
3.700,"BrightSpaceStationScene","Klaw","BroadcastChestExpansion","",-0.044,0.000,0.000,-0.169,0.063,0.648,0.000,0.000,0.000,0.000,0.000,-0.014,-0.169,-0.346,-0.648,-0.200,0.000,0.000,0.000,0.000,0.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.135,0.000,0.015,0.098,0.000,0.000,-0.062,0.000,0.000,0.713,0.132,0.020,-0.014,0.000,0.007
3.800,"BrightSpaceStationScene","Zorak","BroadcastChestExpansion","",-0.069,0.000,0.000,-0.163,-0.422,0.520,-0.200,0.000,0.000,0.000,0.000,0.023,-0.163,-0.054,-0.520,0.000,0.000,0.000,0.000,0.000,-0.023,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.156,0.000,0.018,0.113,0.000,0.000,-0.071,0.000,0.000,-0.729,0.135,0.023,-0.022,0.000,0.009
3.800,"BrightSpaceStationScene","Klaw","BroadcastChestExpansion","",-0.069,0.000,0.000,-0.163,0.054,0.520,0.000,0.000,0.000,0.000,0.000,0.023,-0.163,-0.466,-0.520,-0.200,0.000,0.000,0.000,0.000,-0.023,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.156,0.000,0.018,0.113,0.000,0.000,-0.071,0.000,0.000,0.711,0.135,0.023,-0.022,0.000,0.009
3.900,"BrightSpaceStationScene","Zorak","BroadcastChestExpansion","",-0.080,0.000,0.000,-0.160,0.050,0.392,0.000,0.000,0.000,0.000,0.000,0.039,-0.160,-0.050,-0.392,0.000,0.000,0.000,0.000,0.000,-0.039,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.165,0.000,0.019,0.120,0.000,0.000,-0.075,0.000,0.000,-0.729,0.136,0.024,-0.025,0.000,0.009
3.900,"BrightSpaceStationScene","Klaw","BroadcastChestExpansion","",-0.080,0.000,0.000,-0.160,0.050,0.392,0.000,0.000,0.000,0.000,0.000,0.039,-0.160,-0.503,-0.392,-0.200,0.000,0.000,0.000,0.000,-0.039,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.165,0.000,0.019,0.120,0.000,0.000,-0.075,0.000,0.000,0.711,0.136,0.024,-0.025,0.000,0.009
4.000,"BrightSpaceStationScene","Zorak","BroadcastChestExpansion","",-0.076,0.000,0.000,-0.161,0.051,0.264,0.000,0.000,0.000,0.000,0.000,0.034,-0.161,-0.051,-0.264,0.000,0.000,0.000,0.000,0.000,-0.034,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.162,0.000,0.018,0.118,0.000,0.000,-0.074,0.000,0.000,-0.729,0.136,0.024,-0.024,0.000,0.009
4.000,"BrightSpaceStationScene","Klaw","BroadcastChestExpansion","",-0.076,0.000,0.000,-0.161,0.051,0.264,0.000,0.000,0.000,0.000,0.000,0.034,-0.161,-0.051,-0.264,0.000,0.000,0.000,0.000,0.000,-0.034,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.162,0.000,0.018,0.118,0.000,0.000,-0.074,0.000,0.000,0.711,0.136,0.024,-0.024,0.000,0.009
4.100,"BrightSpaceStationScene","Zorak","BroadcastChestExpansion","",-0.058,0.000,0.000,-0.165,0.058,0.136,0.000,0.000,0.000,0.000,0.000,0.007,-0.165,-0.058,-0.136,0.000,0.000,0.000,0.000,0.000,-0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.147,0.000,0.017,0.107,0.000,0.000,-0.067,0.000,0.000,-0.728,0.134,0.021,-0.018,0.000,0.008
4.100,"BrightSpaceStationScene","Klaw","BroadcastChestExpansion","",-0.058,0.000,0.000,-0.165,0.058,0.136,0.000,0.000,0.000,0.000,0.000,0.007,-0.165,-0.058,-0.136,0.000,0.000,0.000,0.000,0.000,-0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.147,0.000,0.017,0.107,0.000,0.000,-0.067,0.000,0.000,0.712,0.134,0.021,-0.018,0.000,0.008
4.200,"BrightSpaceStationScene","Zorak","BroadcastChestExpansion","",-0.028,0.000,0.000,-0.173,0.069,0.264,0.000,0.000,0.000,0.000,0.000,-0.037,-0.173,-0.069,-0.264,0.000,0.000,0.000,0.000,0.000,0.037,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.122,0.000,0.014,0.089,0.000,0.000,-0.056,0.000,0.000,-0.727,0.131,0.018,-0.009,0.000,0.007
4.200,"BrightSpaceStationScene","Klaw","BroadcastChestExpansion","",-0.028,0.000,0.000,-0.173,0.069,0.264,0.000,0.000,0.000,0.000,0.000,-0.037,-0.173,-0.069,-0.264,0.000,0.000,0.000,0.000,0.000,0.037,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.122,0.000,0.014,0.089,0.000,0.000,-0.056,0.000,0.000,0.713,0.131,0.018,-0.009,0.000,0.007
4.300,"BrightSpaceStationScene","Zorak","BroadcastChestExpansion","",-0.007,0.000,0.000,-0.178,0.077,0.392,0.000,0.000,0.000,0.000,0.000,-0.069,-0.178,-0.077,-0.392,0.000,0.000,0.000,0.000,0.000,0.069,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.105,0.000,0.012,0.076,0.000,0.000,-0.048,0.000,0.000,-0.726,0.129,0.015,-0.002,0.000,0.006
4.300,"BrightSpaceStationScene","Klaw","BroadcastChestExpansion","",-0.007,0.000,0.000,-0.178,0.077,0.392,0.000,0.000,0.000,0.000,0.000,-0.069,-0.178,-0.521,-0.392,-0.200,0.000,0.000,0.000,0.000,0.069,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.105,0.000,0.012,0.076,0.000,0.000,-0.048,0.000,0.000,0.714,0.129,0.015,-0.002,0.000,0.006
4.400,"BrightSpaceStationScene","Zorak","BroadcastChestExpansion","",0.000,0.000,0.000,-0.180,-0.418,0.520,-0.200,0.000,0.000,0.000,0.000,-0.080,-0.180,-0.080,-0.520,0.000,0.000,0.000,0.000,0.000,0.080,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.099,0.000,0.011,0.072,0.000,0.000,-0.045,0.000,0.000,-0.725,0.128,0.014,0.000,0.000,0.005
4.400,"BrightSpaceStationScene","Klaw","BroadcastChestExpansion","",0.000,0.000,0.000,-0.180,0.080,0.520,0.000,0.000,0.000,0.000,0.000,-0.080,-0.180,-0.482,-0.520,-0.200,0.000,0.000,0.000,0.000,0.080,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.099,0.000,0.011,0.072,0.000,0.000,-0.045,0.000,0.000,0.715,0.128,0.014,0.000,0.000,0.005
4.500,"BrightSpaceStationScene","Zorak","BroadcastChestExpansion","",-0.006,0.000,0.000,-0.177,-0.399,0.648,-0.200,0.000,0.000,0.000,0.000,-0.076,-0.177,-0.080,-0.648,0.000,0.000,0.000,0.000,0.000,0.076,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.105,0.000,0.012,0.077,0.000,0.000,-0.048,0.000,0.000,-0.726,0.129,0.015,-0.002,0.000,0.006
4.500,"BrightSpaceStationScene","Klaw","BroadcastChestExpansion","",-0.006,0.000,0.000,-0.177,0.080,0.648,0.000,0.000,0.000,0.000,0.000,-0.076,-0.177,-0.367,-0.648,-0.200,0.000,0.000,0.000,0.000,0.076,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.105,0.000,0.012,0.077,0.000,0.000,-0.048,0.000,0.000,0.714,0.129,0.015,-0.002,0.000,0.006
4.600,"BrightSpaceStationScene","Zorak","BroadcastChestExpansion","",-0.025,0.000,0.000,-0.167,-0.341,0.767,-0.200,0.000,0.000,0.000,0.000,-0.063,-0.167,-0.080,-0.767,0.000,0.000,0.000,0.000,0.000,0.063,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.124,0.000,0.014,0.090,0.000,0.000,-0.057,0.000,0.000,-0.727,0.131,0.018,-0.007,0.000,0.007
4.600,"BrightSpaceStationScene","Klaw","BroadcastChestExpansion","",-0.025,0.000,0.000,-0.167,0.080,0.767,0.000,0.000,0.000,0.000,0.000,-0.063,-0.167,-0.295,-0.767,-0.200,0.000,0.000,0.000,0.000,0.063,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.124,0.000,0.014,0.090,0.000,0.000,-0.057,0.000,0.000,0.713,0.131,0.018,-0.007,0.000,0.007
4.700,"BrightSpaceStationScene","Zorak","BroadcastChestExpansion","",-0.057,0.000,0.000,-0.152,-0.419,0.639,-0.200,0.000,0.000,0.000,0.000,-0.042,-0.152,-0.080,-0.639,0.000,0.000,0.000,0.000,0.000,0.042,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.156,0.000,0.018,0.114,0.000,0.000,-0.071,0.000,0.000,-0.729,0.134,0.023,-0.017,0.000,0.009
4.700,"BrightSpaceStationScene","Klaw","BroadcastChestExpansion","",-0.057,0.000,0.000,-0.152,0.080,0.639,0.000,0.000,0.000,0.000,0.000,-0.042,-0.152,-0.711,-0.639,-0.200,0.000,0.000,0.000,0.000,0.042,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.156,0.000,0.018,0.114,0.000,0.000,-0.071,0.000,0.000,0.711,0.134,0.023,-0.017,0.000,0.009
4.800,"BrightSpaceStationScene","Zorak","BroadcastChestExpansion","",-0.090,0.000,0.000,-0.135,-0.414,0.511,-0.200,0.000,0.000,0.000,0.000,-0.020,-0.135,-0.080,-0.511,0.000,0.000,0.000,0.000,0.000,0.020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.190,0.000,0.022,0.138,0.000,0.000,-0.086,0.000,0.000,-0.730,0.137,0.028,-0.026,0.000,0.010
4.800,"BrightSpaceStationScene","Klaw","BroadcastChestExpansion","",-0.090,0.000,0.000,-0.135,0.080,0.511,0.000,0.000,0.000,0.000,0.000,-0.020,-0.135,-0.528,-0.511,-0.200,0.000,0.000,0.000,0.000,0.020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.190,0.000,0.022,0.138,0.000,0.000,-0.086,0.000,0.000,0.710,0.137,0.028,-0.026,0.000,0.010
4.900,"BrightSpaceStationScene","Zorak","BroadcastChestExpansion","",-0.111,0.000,0.000,-0.124,0.080,0.383,0.000,0.000,0.000,0.000,0.000,-0.006,-0.124,-0.080,-0.383,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.211,0.000,0.024,0.154,0.000,0.000,-0.096,0.000,0.000,-0.732,0.139,0.031,-0.032,0.000,0.012
4.900,"BrightSpaceStationScene","Klaw","BroadcastChestExpansion","",-0.111,0.000,0.000,-0.124,0.080,0.383,0.000,0.000,0.000,0.000,0.000,-0.006,-0.124,-0.556,-0.383,-0.200,0.000,0.000,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.211,0.000,0.024,0.154,0.000,0.000,-0.096,0.000,0.000,0.708,0.139,0.031,-0.032,0.000,0.012
5.000,"BrightSpaceStationScene","Zorak","BroadcastChestExpansion","",-0.120,0.000,0.000,-0.120,0.080,0.255,0.000,0.000,0.000,0.000,0.000,-0.000,-0.120,-0.080,-0.255,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.220,0.000,0.025,0.160,0.000,0.000,-0.100,0.000,0.000,-0.732,0.140,0.032,-0.035,0.000,0.012
5.000,"BrightSpaceStationScene","Klaw","BroadcastChestExpansion","",-0.120,0.000,0.000,-0.120,0.080,0.255,0.000,0.000,0.000,0.000,0.000,-0.000,-0.120,-0.080,-0.255,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.220,0.000,0.025,0.160,0.000,0.000,-0.100,0.000,0.000,0.708,0.140,0.032,-0.035,0.000,0.012
5.100,"BrightSpaceStationScene","Zorak","BroadcastChestExpansion","",-0.118,0.000,0.000,-0.122,0.079,0.127,0.000,0.000,0.000,0.000,0.000,0.002,-0.122,-0.079,-0.127,0.000,0.000,0.000,0.000,0.000,-0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.218,0.000,0.025,0.158,0.000,0.000,-0.099,0.000,0.000,-0.732,0.140,0.032,-0.035,0.000,0.012
5.100,"BrightSpaceStationScene","Klaw","BroadcastChestExpansion","",-0.118,0.000,0.000,-0.122,0.079,0.127,0.000,0.000,0.000,0.000,0.000,0.002,-0.122,-0.079,-0.127,0.000,0.000,0.000,0.000,0.000,-0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.218,0.000,0.025,0.158,0.000,0.000,-0.099,0.000,0.000,0.708,0.140,0.032,-0.035,0.000,0.012
5.200,"BrightSpaceStationScene","Zorak","BroadcastChestExpansion","",-0.112,0.000,0.000,-0.128,0.074,-0.001,0.000,0.000,0.000,0.000,0.000,0.008,-0.128,-0.074,0.001,0.000,0.000,0.000,0.000,0.000,-0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.209,0.000,0.024,0.152,0.000,0.000,-0.095,0.000,0.000,-0.731,0.139,0.030,-0.033,0.000,0.011
5.200,"BrightSpaceStationScene","Klaw","BroadcastChestExpansion","",-0.112,0.000,0.000,-0.128,0.074,-0.001,0.000,0.000,0.000,0.000,0.000,0.008,-0.128,-0.074,0.001,0.000,0.000,0.000,0.000,0.000,-0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.209,0.000,0.024,0.152,0.000,0.000,-0.095,0.000,0.000,0.709,0.139,0.030,-0.033,0.000,0.011
5.300,"BrightSpaceStationScene","Zorak","BroadcastChestExpansion","",-0.100,0.000,0.000,-0.140,0.065,-0.129,0.000,0.000,0.000,0.000,0.000,0.020,-0.140,-0.065,0.129,0.000,0.000,0.000,0.000,0.000,-0.020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.193,0.000,0.022,0.140,0.000,0.000,-0.088,0.000,0.000,-0.731,0.138,0.028,-0.030,0.000,0.011
5.300,"BrightSpaceStationScene","Klaw","BroadcastChestExpansion","",-0.100,0.000,0.000,-0.140,0.065,-0.129,0.000,0.000,0.000,0.000,0.000,0.020,-0.140,-0.065,0.129,0.000,0.000,0.000,0.000,0.000,-0.020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,-0.193,0.000,0.022,0.140,0.000,0.000,-0.088,0.000,0.000,0.709,0.138,0.028,-0.030,0.000,0.011
