time,scene,character,x,y,z,yaw,headX,headY,headZ,headYaw,headLocalYaw,headLocalPitch,headLocalRoll,faceDirX,faceDirY,faceDirZ,facingDir,inCombat,isSpeaking,isListener,dialogueActive,activeBody,activeFace,activeFx
0.350,"FeudalForestScene","Kagome",-1.400,0.013,1.400,1.880,-1.400,1.613,1.400,1.880,0.000,0.000,0.000,0.952,0.000,-0.305,,0,0,0,0,"SwayBody","",""
0.350,"FeudalForestScene","Inuyasha",1.100,0.013,0.600,-1.261,1.100,1.793,0.600,-1.261,0.000,0.000,0.000,-0.952,0.000,0.305,,0,0,0,0,"SwayBody","",""
0.350,"FeudalForestScene","Yokai",0.000,0.013,-6.000,-0.187,0.000,1.667,-6.000,-0.187,0.000,0.000,0.000,-0.186,0.000,0.983,,0,0,0,0,"SwayBody","",""
0.367,"FeudalForestScene","Kagome",-1.400,0.013,1.400,1.880,-1.400,1.613,1.400,1.880,0.000,0.000,0.000,0.952,0.000,-0.305,,0,0,0,0,"SwayBody","",""
0.367,"FeudalForestScene","Inuyasha",1.100,0.013,0.600,-1.261,1.100,1.793,0.600,-1.261,0.000,0.000,0.000,-0.952,0.000,0.305,,0,0,0,0,"SwayBody","",""
0.367,"FeudalForestScene","Yokai",0.000,0.013,-6.000,-0.187,0.000,1.668,-6.000,-0.187,0.000,0.000,0.000,-0.186,0.000,0.983,,0,0,0,0,"SwayBody","",""
0.383,"FeudalForestScene","Kagome",-1.400,0.013,1.400,1.880,-1.400,1.613,1.400,1.880,0.000,0.000,0.000,0.952,0.000,-0.305,,0,0,0,0,"SwayBody","",""
0.383,"FeudalForestScene","Inuyasha",1.100,0.013,0.600,-1.261,1.100,1.793,0.600,-1.261,0.000,0.000,0.000,-0.952,0.000,0.305,,0,0,0,0,"SwayBody","",""
0.383,"FeudalForestScene","Yokai",0.000,0.013,-6.000,-0.187,0.000,1.669,-6.000,-0.187,0.000,0.000,0.000,-0.186,0.000,0.983,,0,0,0,0,"SwayBody","",""
0.400,"FeudalForestScene","Kagome",-1.400,0.013,1.400,1.880,-1.400,1.613,1.400,1.880,0.000,0.000,0.000,0.952,0.000,-0.305,,0,0,0,0,"SwayBody","",""
